{'x': 3.8, 'y': 45.98, 't': 1649401833.0073717}
{'x': 3.8, 'y': 46.02, 't': 1649401833.1073966}
{'x': 3.8, 'y': 46.08, 't': 1649401833.2097237}
{'x': 3.81, 'y': 46.14, 't': 1649401833.3068287}
{'x': 3.8, 'y': 46.21, 't': 1649401833.4075267}
{'x': 3.8, 'y': 46.29, 't': 1649401833.5073721}
{'x': 3.79, 'y': 46.39, 't': 1649401833.6075401}
{'x': 3.78, 'y': 46.47, 't': 1649401833.7074957}
{'x': 3.8, 'y': 46.52, 't': 1649401833.8079922}
{'x': 3.84, 'y': 46.63, 't': 1649401833.9087424}
{'x': 3.85, 'y': 46.73, 't': 1649401834.1074004}
{'x': 3.86, 'y': 46.8, 't': 1649401834.2073252}
{'x': 3.87, 'y': 46.89, 't': 1649401834.3063004}
{'x': 3.87, 'y': 46.98, 't': 1649401834.4073515}
{'x': 3.89, 'y': 47.06, 't': 1649401834.5063927}
{'x': 3.93, 'y': 47.13, 't': 1649401834.6073737}
{'x': 3.94, 'y': 47.22, 't': 1649401834.708535}
{'x': 3.94, 'y': 47.32, 't': 1649401834.8077834}
{'x': 3.94, 'y': 47.46, 't': 1649401834.9084976}
{'x': 3.96, 'y': 47.57, 't': 1649401835.0073502}
{'x': 3.97, 'y': 47.69, 't': 1649401835.1079168}
{'x': 3.96, 'y': 47.8, 't': 1649401835.2073443}
{'x': 3.95, 'y': 47.9, 't': 1649401835.3087249}
{'x': 3.97, 'y': 48.01, 't': 1649401835.407307}
{'x': 3.97, 'y': 48.12, 't': 1649401835.5074377}
{'x': 3.96, 'y': 48.23, 't': 1649401835.607363}
{'x': 3.96, 'y': 48.33, 't': 1649401835.700328}
{'x': 3.99, 'y': 48.41, 't': 1649401835.809472}
{'x': 4.0, 'y': 48.5, 't': 1649401835.9062974}
{'x': 4.04, 'y': 48.63, 't': 1649401836.0075152}
{'x': 4.04, 'y': 48.76, 't': 1649401836.1072233}
{'x': 4.08, 'y': 48.83, 't': 1649401836.2083802}
{'x': 4.1, 'y': 48.93, 't': 1649401836.3089173}
{'x': 4.11, 'y': 49.03, 't': 1649401836.4084568}
{'x': 4.1, 'y': 49.14, 't': 1649401836.5103827}
{'x': 4.13, 'y': 49.25, 't': 1649401836.608363}
{'x': 4.13, 'y': 49.34, 't': 1649401836.7074492}
{'x': 4.15, 'y': 49.45, 't': 1649401836.8082967}
{'x': 4.16, 'y': 49.56, 't': 1649401836.906348}
{'x': 4.17, 'y': 49.67, 't': 1649401837.0076087}
{'x': 4.16, 'y': 49.78, 't': 1649401837.107568}
{'x': 4.18, 'y': 49.88, 't': 1649401837.2073529}
{'x': 4.17, 'y': 50.0, 't': 1649401837.307802}
{'x': 4.18, 'y': 50.1, 't': 1649401837.4006774}
{'x': 4.18, 'y': 50.32, 't': 1649401837.5074422}
{'x': 4.18, 'y': 50.4, 't': 1649401837.6064126}
{'x': 4.17, 'y': 50.47, 't': 1649401837.707342}
{'x': 4.17, 'y': 50.54, 't': 1649401837.8070114}
{'x': 4.17, 'y': 50.65, 't': 1649401837.9073024}
{'x': 4.18, 'y': 50.75, 't': 1649401838.007558}
